"Missouri","St. Charles County Police Department","636-949-3000","Email: Missouri ICAC","https://www.moicac.org/";
"Montana","Montana Division of Criminal Investigation","Phone:","Email: Montana ICAC","https://dojmt.gov/enforcement/";
"Nebraska","Nebraska State Patrol","402-471-4545","Email: Nebraska ICAC","https://statepatrol.nebraska.gov/";
"Nevada","Las Vegas Metropolitan Police Department","702-828-3421","Email: Nevada ICAC","https://www.lvmpd.com/en-us/Pages/InternetCrimesAgainstChildren.aspx";
"New Hampshire","Portsmouth Police Department","603-427-1500","Email: New Hampshire ICAC","http://www.nhicac.org/";
"New Jersey","New Jersey State Police","609-584-5051","Email: New Jersey ICAC","https://www.njsp.org/division/investigations/digital-tech-investigations.shtml#icac";
"New Mexico","New Mexico Office of the Attorney General","505-717-3542","Email: New Mexico ICAC","https://www.nmag.gov/internet-crimes-against-children.aspx";
"New York","New York State Police","518-457-8812","Email: New York ICAC","https://www.nysicac.org/";
"New York","New York City Police Department","646-610-5397","Email: New York - New York City Area ICAC","https://www1.nyc.gov/site/nypd/index.page";
"North Carolina","North Carolina State Bureau of Investigation","919-779-8130","Email: North Carolina ICAC","http://www.ncsbi.gov/Divisions/Field-Operations/Computer-Crimes.aspx";
"North Dakota","North Dakota Bureau of Criminal Investigation","701-239-7266","Email: North Dakota ICAC","https://www.facebook.com/NDICAC/";
"Ohio","Cuyahoga County Prosecutor's Office","440-886-5284","Email: Ohio ICAC","http://www.ohioicac.org/";
"Oklahoma","Oklahoma State Bureau of Investigation","405-879-2617","Email: Oklahoma ICAC","https://osbi.ok.gov/";
"Oregon","Oregon Department of Justice","503-378-6347","Email: Oregon ICAC","https://www.doj.state.or.us/oregon-department-of-justice/divisions/criminal-justice/";
"Pennsylvania","Delaware County District Attorney's Office","610-891-4717","Email: Pennsylvania ICAC","http://www.onlinesafety.com/";
"Rhode Island","Rhode Island State Police","401-921-8149","Email: Rhode Island ICAC","http://risp.ri.gov/";
"South Carolina","South Carolina Attorney General's Office","803-734-6314","Email: South Carolina ICAC","https://icac.scag.gov/";
"South Dakota","South Dakota Division of Criminal Investigation","605-381-1734","Email: South Dakota ICAC","http://www.dci.sd.gov/OurOffice/Departments/DCI/theoffice.aspx";
"Tennessee","Knoxville Police Department","865-637-5590","Email: Tennessee ICAC","https://www.tnicac.org/";
"Texas","Office of the Attorney General of Texas","512-936-0561","Email: Texas ICAC","https://www.texasattorneygeneral.gov/initiatives/cyber-safety";
"Texas","Dallas Police Department","214-671-4201","Email: Texas - Dallas PD ICAC","http://www.dallaspolice.net/";
"Texas","Houston Police Department (HM)","713-986-3310","Email: Texas - Houston Area ICAC","http://hmicac.org/";
"Utah","Utah Office of Attorney General","801-281-1211","Email: Utah ICAC","https://attorneygeneral.utah.gov/initiatives/icac/";
"Vermont","Vermont Office of the Attorney General","802-828-5522","Email: Vermont ICAC","http://www.vt-icac.org/";
"Virginia - Bedford County Area","Bedford County Sheriff's Office","434-534-9521","Email: Virginia - Bedford County Area ICAC","http://bedfordcountysheriff.org/";
"Virginia - Virginia State Police","Virginia State Police","804-674-2767","Email: Virginia - Virginia State Police ICAC","http://novadcicac.org/";
"Washington","Seattle Police Department","206-684-4351","Email: Washington ICAC","http://www.seattle.gov/police/about-us/about-policing/icac";
"West Virginia","West Virginia State Police","304-293-6400","Email: West Virginia ICAC","https://www.facebook.com/WVICACTaskForce";
"Wisconsin","Wisconsin Department of Justice","608-264-9482","Email: Wisconsin ICAC","https://www.doj.state.wi.us/dci/icac/internet-crimes-against-children-icac";
"Wyoming","Wyoming Division of Criminal Investigation","307-777-5178","Email: Wyoming ICAC","http://wyomingdci.wyo.gov/dci-operations-section/internet-crimes-against-children-icac";
